name,price,category,store_name,unit,date
ANWAR LATOR ,149.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
AVACADO ,4349.0,Fruits,Al-Fateh,1 KG,2025-08-30 15:01:56.149453
BABY PINEAPPLE ,2495.0,Fruits,Al-Fateh,PC,2025-08-30 15:01:56.149453
BANANA IMP ,288.0,Fruits,Al-Fateh,Dozen,2025-08-30 15:01:56.149453
BANANA PK ,240.0,Fruits,Al-Fateh,Dozen,2025-08-30 15:01:56.149453
BLACK GRAPES ,149.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
BLUE BERRY ,1595.0,Fruits,Al-Fateh,125GM Box,2025-08-30 15:01:56.149453
CHIKO ,108.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
COCONUT ,529.0,Fruits,Al-Fateh,PC,2025-08-30 15:01:56.149453
DRAGON FRUIT ,1195.0,Fruits,Al-Fateh,PC,2025-08-30 15:01:56.149453
GACHA APPLE ,105.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
GARMA ,269.0,Fruits,Al-Fateh,3 KG,2025-08-30 15:01:56.149453
GOLDEN APPLE ,88.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
GUAVA ,83.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
PAPAYA ,399.0,Fruits,Al-Fateh,1 KG,2025-08-30 15:01:56.149453
PEACH SPECIAL ,110.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
QANDARI ANAR SPECIAL ,124.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
SUNDERKHANI GRAPES ,145.0,Fruits,Al-Fateh,250 GM,2025-08-30 15:01:56.149453
SWEET LIME ,288.0,Fruits,Al-Fateh,Dozen,2025-08-30 15:01:56.149453
Sweet Tamarind,695.0,Fruits,Al-Fateh,pck 250g,2025-08-30 15:01:56.149453
ONION Piyaz ,33.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
TOMATO ,60.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
CABBAGE ,75.0,Vegetables,Al-Fateh,500 GM,2025-08-30 15:02:08.873307
FARMI CUCUMBER ,50.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
CAULIFLOWER ,239.0,Vegetables,Al-Fateh,1 KG,2025-08-30 15:02:08.873307
TURNIP ,55.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
GARLIC CHINA ,124.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
GARLIC DESI ,88.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
GINGER ADRAK ,163.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
GREEN CHILLI ,38.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
POTATOALOO OLD ,24.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
ARVI ,43.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
Baby Carrot,2049.0,Vegetables,Al-Fateh,pck,2025-08-30 15:02:08.873307
Baby-Corn,995.0,Vegetables,Al-Fateh,pck,2025-08-30 15:02:08.873307
BEET ROOT ,53.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
BELL PA,399.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
BITTER GOURD ,95.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
BOTTLE GOURD ,140.0,Vegetables,Al-Fateh,500 GM,2025-08-30 15:02:08.873307
BRINJAL ,58.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
BROCCOLI ,325.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
CAPSICUM ,68.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
CARROT CHINA ,50.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
Cherry Tomato Local ,649.0,Vegetables,Al-Fateh,250g,2025-08-30 15:02:08.873307
DESI TENDAY ,98.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
FRENCH BEAN ,98.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
GHIA TORI ,48.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
ICE BERG ,200.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
LEMON DESI ,120.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
MINT ,15.0,Vegetables,Al-Fateh,Bunch,2025-08-30 15:02:08.873307
Mushroom ,295.0,Vegetables,Al-Fateh,150g,2025-08-30 15:02:08.873307
OKRA ,80.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
PEAS ,150.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
PHALIYA PEELED ,88.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
PUMPKIN ,89.0,Vegetables,Al-Fateh,2 KG,2025-08-30 15:02:08.873307
RED CABBAGE ,50.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
ROUND GOURD ,105.0,Vegetables,Al-Fateh,500 GM,2025-08-30 15:02:08.873307
SALAD LEAF ,59.0,Vegetables,Al-Fateh,Bunch,2025-08-30 15:02:08.873307
SPINACH ,23.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
SPRING ONION Sabz Piyaz ,199.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
SWEET POTATO ,50.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
TENDIYA FARMI ,95.0,Vegetables,Al-Fateh,250 GM,2025-08-30 15:02:08.873307
THAI CHILLI RED ,1099.0,Vegetables,Al-Fateh,100Gm Pack,2025-08-30 15:02:08.873307
FF HAPPY HEN CLASSIC EGGS ,355.0,Eggs,Al-Fateh,12 PCS,2025-08-30 15:02:21.971234
FARM FRESH OMEGA ,450.0,Eggs,Al-Fateh,3 EGGS 12 PCS PACK,2025-08-30 15:02:21.971234
FARM FRESH CLASSIC EGGS ,365.0,Eggs,Al-Fateh,12 PCS PACK,2025-08-30 15:02:21.971234
FF HAPPY HEN CLASSIC EGGS ,180.0,Eggs,Al-Fateh,6 PCS,2025-08-30 15:02:21.971234
FF HAPPY HEN DESI EGGS ,460.0,Eggs,Al-Fateh,12 PCS,2025-08-30 15:02:21.971234
FF HAPPY HEN CLASSIC EGGS ,875.0,Eggs,Al-Fateh,30 PCS,2025-08-30 15:02:21.971234
FF HAPPY HEN OMEGA ,415.0,Eggs,Al-Fateh,3 EGGS L 12 PCS,2025-08-30 15:02:21.971234
FARM FRESH CLASSIC EGGS ,895.0,Eggs,Al-Fateh,30 PCS PACK,2025-08-30 15:02:21.971234
FARM FRESH GOLDEN EGGS ,405.0,Eggs,Al-Fateh,12 PCS PACK,2025-08-30 15:02:21.971234
ORGANIC VALLEY LOHMAN BROWN EGG ECONOMY ,475.0,Eggs,Al-Fateh,12 PC,2025-08-30 15:02:21.971234
ORGANIC VALLEY LOHMAN BROWN EGG FAMILY ,1180.0,Eggs,Al-Fateh,30 PC,2025-08-30 15:02:21.971234
ORGANIC VALLEY LOHMAN BROWN EGG SAVER ,245.0,Eggs,Al-Fateh,6 PC,2025-08-30 15:02:21.971234
LOCAL DESI SUGAR ,175.0,Sugar,Al-Fateh,1 KG,2025-08-30 15:02:30.221985
SHAKKAR ,260.0,Sugar,Al-Fateh,1 KG,2025-08-30 15:02:30.221985
SHAKKAR ,130.0,Sugar,Al-Fateh,500 GM,2025-08-30 15:02:30.221985
GURR ,260.0,Sugar,Al-Fateh,1 KG,2025-08-30 15:02:30.221985
FALAK DESI SHAKKAR JEGGERY POWDER ,495.0,Sugar,Al-Fateh,500GM,2025-08-30 15:02:30.221985
SUNBEAM JAGGERY POWDER POUCH ,635.0,Sugar,Al-Fateh,1 KG,2025-08-30 15:02:30.221985
MOIZ SHAKKAR ,150.0,Sugar,Al-Fateh,500 GM,2025-08-30 15:02:30.221985
NATIONAL IODIZED PINK HIMALAYAN SALT ,99.0,Salt,Al-Fateh,800 GM POUCH,2025-08-30 15:02:42.259257
NATIONAL SALT IODIZED REFINED ,50.0,Salt,Al-Fateh,800 GM,2025-08-30 15:02:42.259257
NATIONAL SALT REFINE TABLE ,50.0,Salt,Al-Fateh,800 GM,2025-08-30 15:02:42.259257
FF SAFAID NAMAK ,50.0,Salt,Al-Fateh,800 GM,2025-08-30 15:02:42.259257
SHAN TAEST VIRGIN PINK HIMALAYAN SALT ,100.0,Salt,Al-Fateh,800 GM,2025-08-30 15:02:42.259257
FF DESI KAALA NAMAK POWDER ,25.0,Salt,Al-Fateh,100 GM,2025-08-30 15:02:42.259257
SHAN SALT PURE REFINED ,75.0,Salt,Al-Fateh,800 GM,2025-08-30 15:02:42.259257
BLACK SALT POWDER ,15.0,Salt,Al-Fateh,100 GM,2025-08-30 15:02:42.259257
FALAK HIMALAYN PINK SALT ,65.0,Salt,Al-Fateh,400 GM,2025-08-30 15:02:42.259257
SHAN SALT IODIZED ,75.0,Salt,Al-Fateh,800 GM,2025-08-30 15:02:42.259257
DAALI ROCK SALT POWDER ,60.0,Salt,Al-Fateh,800 GM,2025-08-30 15:02:42.259257
FALAK KALA NAMAK ,95.0,Salt,Al-Fateh,120 GM BASIC,2025-08-30 15:02:42.259257
SIMPLE SALT ,40.0,Salt,Al-Fateh,1 KG,2025-08-30 15:02:42.259257
DAALI PINK ROCK SALT ,90.0,Salt,Al-Fateh,200 GM,2025-08-30 15:02:42.259257
FALAK ARABIAN SEA SALT ,95.0,Salt,Al-Fateh,400GM,2025-08-30 15:02:42.259257
FALAK HIMALAYAN SALT PINK ROCK ,475.0,Salt,Al-Fateh,200 GM BASIC,2025-08-30 15:02:42.259257
FALAK HIMALAYN FINE PINK SALT BOTTLE ,95.0,Salt,Al-Fateh,150 GM,2025-08-30 15:02:42.259257
FRESHMATE KALA NAMAK ,134.0,Salt,Al-Fateh,120 GM,2025-08-30 15:02:42.259257
FALAK LOW SODIUM SALT ,330.0,Salt,Al-Fateh,400GM,2025-08-30 15:02:42.259257
FALAK CHILLI GARLIC PINK SALT ,545.0,Salt,Al-Fateh,150 GM,2025-08-30 15:02:42.259257
FALAK LOW SODIUM SALT ,85.0,Salt,Al-Fateh,150GM,2025-08-30 15:02:42.259257
FRESH ST SMOKED SALT COARSE ,720.0,Salt,Al-Fateh,90GM,2025-08-30 15:02:42.259257
FRESH ST HIMALAYAN PINK SALT ROSEMARY ,375.0,Salt,Al-Fateh,125GM,2025-08-30 15:02:42.259257
BLACK SALT POWDER ,150.0,Salt,Al-Fateh,1 KG BASIC,2025-08-30 15:02:42.259257
DALDA COOKING OIL POUCH ,565.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
SUFI CANOLA COOKING OIL POUCH ,550.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
CANOLIVE PREMIUM CANOLA OIL POUCH ,575.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
FF GLAZE COOKING OIL POUCH ,535.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
DALDA COOKING OIL STAND UP POUCH ,575.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
MEZAN OLIVOLA OLIVE AND CANOLA OIL ,585.0,Oil,Al-Fateh,1 LTR POUCH,2025-08-30 15:03:03.542885
DALDA CANOLA OIL POUCH ,565.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
CANOLIVE COOKING OIL ,595.0,Oil,Al-Fateh,1LTR POUCH NOZZLE PACK PC,2025-08-30 15:03:03.542885
MEZAN COOKING OIL POUCH ,535.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
SUFI SUNFLOWER COOKING OIL POUCH ,574.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
MANPASAND COOKING OIL POUCH ,499.0,Oil,Al-Fateh,900 ML,2025-08-30 15:03:03.542885
CANOLIVE PREMIUM CANOLA OIL BOTTLE ,2720.0,Oil,Al-Fateh,4.5 LTR,2025-08-30 15:03:03.542885
SUFI CANOLA COOKING OIL BOTTLE ,2570.0,Oil,Al-Fateh,4.5 LTR BASIC,2025-08-30 15:03:03.542885
DALDA CANOLA OIL STAND UP POUCH ,575.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
KAUSAR COOKING OIL POUCH ,510.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
SUFI CANOLA COOKING OIL BOTTLE ,1715.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
CANOLIVE PREMIUM CANOLA OIL BOTTLE ,1815.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
SEASONS CANOLA OIL BOTTLE ,2530.0,Oil,Al-Fateh,4.5 LTR,2025-08-30 15:03:03.542885
DALDA SUNFLOWER OIL STAND UP POUCH ,575.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
DALDA COOKING OIL BOTTLE ,1775.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
KASHMIR PREMIUM GOLD COOKING OIL POUCH ,560.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
DALDA COOKING OIL BOTTLE ,2645.0,Oil,Al-Fateh,4.5 LTR,2025-08-30 15:03:03.542885
SEASONS CANOLA OIL BOTTLE ,1665.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
FF GLAZE SUNFLOWER OIL POUCH ,565.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
FF GLAZE CANOLA OIL POUCH ,565.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
SUFI SUNFLOWER COOKING OIL BOTTLE ,2665.0,Oil,Al-Fateh,4.5 LTR BASIC,2025-08-30 15:03:03.542885
TULLO COOKING OIL POUCH ,570.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
FF GLAZE MUSTARD COOKING OIL BOTTLE ,1845.0,Oil,Al-Fateh,3LTR,2025-08-30 15:03:03.542885
KAUSAR CANOLA OIL POUCH ,510.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
SEASONS COOKING OIL POUCH ,535.0,Oil,Al-Fateh,1 LTR PC,2025-08-30 15:03:03.542885
DALDA SUNFLOWER OIL POUCH ,565.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
SUFI SOYABEAN COOKING OIL POUCH ,550.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
RAFHAN CORN OIL BOTTLE ,3195.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
SUFI CANOLA COOKING OIL BOTTLE ,465.0,Oil,Al-Fateh,750 ML,2025-08-30 15:03:03.542885
SUFI SUNFLOWER COOKING OIL BOTTLE ,1775.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
CANOLIVE COOKING OIL BOTTLE ,1165.0,Oil,Al-Fateh,1.8 LTR,2025-08-30 15:03:03.542885
RAFHAN CORN OIL BOTTLE ,1195.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
DALDA PLANTA COOKING OIL POUCH ,565.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
MEZAN CANOLA OIL POUCH ,535.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
SEASONS CANOLA OIL GALON ,5395.0,Oil,Al-Fateh,10 LTR,2025-08-30 15:03:03.542885
SUFI CANOLA COOKING OIL GALON ,5610.0,Oil,Al-Fateh,10 LTR,2025-08-30 15:03:03.542885
RAFHAN CORN OIL TIN ,5095.0,Oil,Al-Fateh,5 LTR,2025-08-30 15:03:03.542885
FF GLAZE CORN OIL BOTTLE ,1.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
EVA SUNFLOWER OIL POUCH ,580.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
SEASONS CORN OIL BOTTLE ,2975.0,Oil,Al-Fateh,4.5 LTR,2025-08-30 15:03:03.542885
DAALI SARSON COOKING OIL ,995.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
DALDA KALONJI CANOLA OIL BOTTLE ,610.0,Oil,Al-Fateh,1LTR,2025-08-30 15:03:03.542885
MEZAN OLIVOLA OIL BOTTLE ,1.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
DALDA CANOLA OIL BOTTLE ,1775.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
DALDA CANOLA OIL BOTTLE ,2645.0,Oil,Al-Fateh,4.5 LTR,2025-08-30 15:03:03.542885
DALDA COOKING OIL CAN ,2870.0,Oil,Al-Fateh,5 LTR,2025-08-30 15:03:03.542885
DALDA COOKING OIL TIN ,2865.0,Oil,Al-Fateh,5 LTR PC,2025-08-30 15:03:03.542885
RAFHAN CORN OIL TIN ,3095.0,Oil,Al-Fateh,3 LTR BASIC,2025-08-30 15:03:03.542885
CANOLIVE PREMIUM CANOLA OIL BOTTLE ,610.0,Oil,Al-Fateh,1 LTR,2025-08-30 15:03:03.542885
FF GLAZE SOYBEAN COOKING OIL POUCH ,565.0,Oil,Al-Fateh,1LTR,2025-08-30 15:03:03.542885
DALDA SUNFLOWER OIL BOTTLE ,1775.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
DALDA CORN OIL BOTTLE ,1995.0,Oil,Al-Fateh,3LTR,2025-08-30 15:03:03.542885
DALDA COOKING OIL GALON ,5690.0,Oil,Al-Fateh,10 LTR,2025-08-30 15:03:03.542885
SUFI CANOLA COOKING OIL BOTTLE ,1080.0,Oil,Al-Fateh,1.8 LTR,2025-08-30 15:03:03.542885
DALDA SUNFLOWER OIL BOTTLE ,2645.0,Oil,Al-Fateh,4.5 LTR,2025-08-30 15:03:03.542885
COROLI SUNFLOWER OIL BOTTLE ,2895.0,Oil,Al-Fateh,1.8 LTR,2025-08-30 15:03:03.542885
SUFI SOYABEAN COOKING OIL BOTTLE ,2570.0,Oil,Al-Fateh,4.5 LTR BASIC,2025-08-30 15:03:03.542885
SUFI SUNFLOWER COOKING OIL GALON ,5810.0,Oil,Al-Fateh,10 LTR,2025-08-30 15:03:03.542885
SUFI SOYABEAN COOKING OIL BOTTLE ,1080.0,Oil,Al-Fateh,1.8 LTR,2025-08-30 15:03:03.542885
EVA COOKING OIL BOTTLE ,2845.0,Oil,Al-Fateh,5 LTR,2025-08-30 15:03:03.542885
COROLI CORN OIL BOTTLE ,3195.0,Oil,Al-Fateh,1.8 LTR,2025-08-30 15:03:03.542885
COROLI CORN OIL BOTTLE ,6495.0,Oil,Al-Fateh,4 LTR,2025-08-30 15:03:03.542885
FF GLAZE SUNFLOWER OIL BOTTLE ,1.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
CANOLIVE PREMIUM CANOLA OIL CANE ,5945.0,Oil,Al-Fateh,10 LTR,2025-08-30 15:03:03.542885
COROLI SUNFLOWER OIL BOTTLE ,4595.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
COROLI CORN OIL BOTTLE ,5195.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
KAUSAR CANOLA OIL BOTTLE ,2595.0,Oil,Al-Fateh,5 LTR,2025-08-30 15:03:03.542885
EVA COOKING OIL BOTTLE ,1720.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
FF GLAZE CANOLA OIL BOTTLE ,1.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
SUFI SOYABEAN COOKING OIL BOTTLE ,1715.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
DALDA KALONJI CANOLA OIL BOTTLE ,1860.0,Oil,Al-Fateh,3LTR,2025-08-30 15:03:03.542885
COROLI CANOLA OIL BOTTLE ,2745.0,Oil,Al-Fateh,1.8 LTR,2025-08-30 15:03:03.542885
EVA CANOLA OIL BOTTLE ,2895.0,Oil,Al-Fateh,5 LTR,2025-08-30 15:03:03.542885
RAFHAN CORN OIL CAN ,13900.0,Oil,Al-Fateh,16 LTR,2025-08-30 15:03:03.542885
KASHMIR PREMIUM GOLD COOKING OIL BOTTLE ,2570.0,Oil,Al-Fateh,4.5 LTR,2025-08-30 15:03:03.542885
KAUSAR COOKING OIL BOTTLE ,1565.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
KAUSAR COOKING OIL BOTTLE ,2595.0,Oil,Al-Fateh,5 LTR,2025-08-30 15:03:03.542885
DALDA COOKING OIL TIN ,1460.0,Oil,Al-Fateh,2.5 LTR,2025-08-30 15:03:03.542885
DALDA CANOLA OIL GALON ,9045.0,Oil,Al-Fateh,16 LTR,2025-08-30 15:03:03.542885
KASHMIR PREMIUM GOLD OIL BOTTLE ,1715.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
SEASONS COOKING OIL GALON ,9195.0,Oil,Al-Fateh,16 LTR,2025-08-30 15:03:03.542885
EVA SUNFLOWER OIL BOTTLE ,2920.0,Oil,Al-Fateh,5 LTR,2025-08-30 15:03:03.542885
DALDA CORN OIL TIN ,1999.0,Oil,Al-Fateh,3LTR,2025-08-30 15:03:03.542885
DALDA CANOLA OIL GALON ,5695.0,Oil,Al-Fateh,10 LTR,2025-08-30 15:03:03.542885
EVA PURE CANOLA OIL BOTTLE ,1745.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
DALDA PLANTA COOKING OIL BOTTLE ,2645.0,Oil,Al-Fateh,4.5 LTR,2025-08-30 15:03:03.542885
MEZAN COOKING OIL BOTTLE ,2445.0,Oil,Al-Fateh,4.5 LTR,2025-08-30 15:03:03.542885
EVA SUNFLOWER OIL BOTTLE ,1765.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
RAFHAN CORN OIL TIN ,9500.0,Oil,Al-Fateh,10 LTR BASIC,2025-08-30 15:03:03.542885
KAUSAR CANOLA COOKING OIL ,1565.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
MEZAN CANOLA OIL BOTTLE ,1620.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
DALDA CORN OIL TIN ,3330.0,Oil,Al-Fateh,5LTR,2025-08-30 15:03:03.542885
DALDA PLANTA COOKING OIL BOTTLE ,1775.0,Oil,Al-Fateh,3 LTR,2025-08-30 15:03:03.542885
KAUSAR CANOLA COOKING OIL ,5165.0,Oil,Al-Fateh,10 LTR,2025-08-30 15:03:03.542885
SEASONS COOKING OIL BOTTLE ,2675.0,Oil,Al-Fateh,5 LTR PC,2025-08-30 15:03:03.542885
KAUSAR CANOLA OIL JERRY CAN ,8195.0,Oil,Al-Fateh,16LTR,2025-08-30 15:03:03.542885
KAUSAR COOKING OIL JERRY CAN ,8195.0,Oil,Al-Fateh,16LTR,2025-08-30 15:03:03.542885
KAUSAR COOKING OIL JERRY CAN ,5165.0,Oil,Al-Fateh,10 LTR,2025-08-30 15:03:03.542885
SEASONS COOKING OIL BOTTLE ,1645.0,Oil,Al-Fateh,3 L LTR,2025-08-30 15:03:03.542885
KASHMIR PREMIUM GOLD COOKING OIL ,5745.0,Oil,Al-Fateh,10 LTR,2025-08-30 15:03:03.542885
DALDA VTF BANASPATI GHEE POUCH ,569.0,Ghee,Al-Fateh,1 KG,2025-08-30 15:03:20.185841
SUFI BANASPATI GHEE POUCH ,560.0,Ghee,Al-Fateh,1 KG,2025-08-30 15:03:20.185841
MEZAN BANASPATI GHEE POUCH ,539.0,Ghee,Al-Fateh,1 KG,2025-08-30 15:03:20.185841
MANPASAND BANASPATI GHEE POUCH ,499.0,Ghee,Al-Fateh,900 GM,2025-08-30 15:03:20.185841
KASHMIR BANASPATI GHEE POUCH ,560.0,Ghee,Al-Fateh,1 KG,2025-08-30 15:03:20.185841
CANOLIVE BANASPATI GHEE ,525.0,Ghee,Al-Fateh,1 KG,2025-08-30 15:03:20.185841
KAUSAR BANASPATI POUCH ,505.0,Ghee,Al-Fateh,1 KG,2025-08-30 15:03:20.185841
DALDA VTF BANASPATI GHEE TIN ,2865.0,Ghee,Al-Fateh,5 KG,2025-08-30 15:03:20.185841
ADAMS DESI GHEE TIN ,2695.0,Ghee,Al-Fateh,1 KG,2025-08-30 15:03:20.185841
DALDA VTF BANASPATI GHEE TIN ,1460.0,Ghee,Al-Fateh,2.5 KG,2025-08-30 15:03:20.185841
ADAMS DESI GHEE TIN ,1370.0,Ghee,Al-Fateh,500 GM,2025-08-30 15:03:20.185841
KISAN DESI GHEE TIN ,2795.0,Ghee,Al-Fateh,1 KG,2025-08-30 15:03:20.185841
FF DESI GHEE ,2695.0,Ghee,Al-Fateh,870 GM PLASTIC JAR,2025-08-30 15:03:20.185841
FF DESI GHEE ,1345.0,Ghee,Al-Fateh,400 GM PLASTIC JAR,2025-08-30 15:03:20.185841
OL,2695.0,Ghee,Al-Fateh,PERS TARKA ASLI DESI GHEE 1 KG,2025-08-30 15:03:20.185841
OL,1395.0,Ghee,Al-Fateh,PERS TARKA ASLI DESI GHEE 500GM,2025-08-30 15:03:20.185841
EVA BANASPATI GHEE ,545.0,Ghee,Al-Fateh,1KG,2025-08-30 15:03:20.185841
SUFI BANASPATI GHEE TIN ,1470.0,Ghee,Al-Fateh,2.5 KG,2025-08-30 15:03:20.185841
FF BULK CHEESE DESI GHEE ,2295.0,Ghee,Al-Fateh,450 GM,2025-08-30 15:03:20.185841
FF BULK CHEESE DESI GHEE ,4495.0,Ghee,Al-Fateh,900 GM,2025-08-30 15:03:20.185841
DAALI DESI GHEE ,3195.0,Ghee,Al-Fateh,850GM,2025-08-30 15:03:20.185841
ANHAAR PURE DESI GHEE ,2595.0,Ghee,Al-Fateh,870 GM,2025-08-30 15:03:20.185841
FF DESI GHEE ,1345.0,Ghee,Al-Fateh,400 GM TIN,2025-08-30 15:03:20.185841
NURPUR DESI GHEE ,2595.0,Ghee,Al-Fateh,1KG,2025-08-30 15:03:20.185841
PAKPURE DESI GHEE TIN ,2860.0,Ghee,Al-Fateh,1 KG,2025-08-30 15:03:20.185841
PAK DESI GHEE POUCH ,785.0,Ghee,Al-Fateh,250 GM,2025-08-30 15:03:20.185841
FF DESI GHEE ,2695.0,Ghee,Al-Fateh,870 GM TIN,2025-08-30 15:03:20.185841
PAK DESI GHEE POUCH ,1535.0,Ghee,Al-Fateh,500 GM,2025-08-30 15:03:20.185841
DAALI DESI GHEE ,1850.0,Ghee,Al-Fateh,450 GM,2025-08-30 15:03:20.185841
PAK DESI GHEE POUCH ,2.0,Ghee,Al-Fateh,1 KG,2025-08-30 15:03:20.185841
SUFI BANASPATI GHEE TIN ,2870.0,Ghee,Al-Fateh,5 KG,2025-08-30 15:03:20.185841
KASHMIR BANASPATI GHEE BUCKET ,1430.0,Ghee,Al-Fateh,2.5 KG,2025-08-30 15:03:20.185841
PREMA DESI GHEE ,3395.0,Ghee,Al-Fateh,800GM,2025-08-30 15:03:20.185841
KISAN DESI GHEE TIN ,6995.0,Ghee,Al-Fateh,2.5 KG,2025-08-30 15:03:20.185841
KASHMIR BANASPATI GHEE BALTI ,2850.0,Ghee,Al-Fateh,5 KG,2025-08-30 15:03:20.185841
KISAN DESI GHEE TIN ,13900.0,Ghee,Al-Fateh,5 KG,2025-08-30 15:03:20.185841
KASHMIR BANASPATI GHEE BALTI ,5680.0,Ghee,Al-Fateh,10 KG,2025-08-30 15:03:20.185841
